Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,21.0,124.0,-2.1421568627450975,1.5147058823529411,0.01059963658388855
EMG1_mean,7.0,120.0,-3.882352941176471,1.5098039215686274,0.00621632822213013
EMG2_mean,12.0,94.0,-5.299019607843137,0.12254901960784313,0.02324257660563514
EMG3_mean,17.0,100.0,-1.7058823529411764,-0.4460784313725491,0.02249718785151856
EMG4_mean,28.0,102.0,-1.4901960784313726,-0.2156862745098039,0.02992125984251969
EMG5_mean,9.0,71.0,-5.808823529411765,-0.6617647058823529,0.04311961004874391
EMG6_mean,4.0,69.0,-6.019607843137256,-0.5294117647058824,0.03937007874015748
EMG7_mean,27.0,101.0,-3.2156862745098036,-0.28431372549019607,0.02992125984251969
Accl0_mean,48.0,57.0,0.7318665147058824,0.7390424411764706,0.48031496062992124
Accl1_mean,61.0,80.0,-0.3972695392156863,-0.35493500000000006,0.2204724409448819
Accl2_mean,102.0,113.0,0.558804387254902,0.5839316960784314,0.3937007874015748
Gyr0_mean,24.0,85.0,-0.35355392156862747,0.23590686274509803,0.0444500889001778
Gyr1_mean,76.0,126.0,-0.2536764705882353,0.6936274509803921,0.06252894858730894
Gyr2_mean,54.0,108.0,-0.6675857843137254,-0.01623774509803922,0.05511811023622047
Orien0_mean,57.0,92.0,71.69117647058823,73.33823529411765,0.10498687664041993
Orien1_mean,75.0,83.0,42.09313725490197,42.94117647058823,0.5380577427821522
Orien2_mean,38.0,55.0,110.08823529411767,113.4607843137255,0.24934383202099736
EMG0_min,10.0,37.0,-57.5,-31.75,0.14623172103487064
EMG1_min,2.0,54.0,-92.5,-29.0,0.05868370227306492
EMG2_min,18.0,103.0,-88.25,-28.75,0.02105841420985168
EMG3_min,20.0,79.0,-27.25,-14.0,0.047244094488188976
EMG4_min,11.0,78.0,-46.25,-17.0,0.03705419175544233
EMG5_min,9.0,73.0,-106.25,-43.0,0.040581465778316166
EMG6_min,34.0,92.0,-61.0,-32.0,0.048712131322567735
EMG7_min,17.0,53.0,-73.25,-47.0,0.10108533730580975
Accl0_min,48.0,69.0,0.6947019999999999,0.721802,0.1968503937007874
Accl1_min,70.0,86.0,-0.43774425,-0.408203,0.26632700324224173
Accl2_min,96.0,112.0,0.514404,0.5433352499999999,0.26632700324224173
Gyr0_min,20.0,124.0,-11.015625,-2.203125,0.01012373453318335
Gyr1_min,24.0,101.0,-19.3125,-7.8125,0.027256208358570563
Gyr2_min,33.0,102.0,-14.9375,-6.796875,0.03487064116985377
Orien0_min,64.0,105.0,71.0,73.0,0.0843644544431946
Orien1_min,68.0,80.0,40.75,42.0,0.3603876438522108
Orien2_min,42.0,56.0,109.75,113.25,0.30708661417322836
EMG0_max,54.0,110.0,23.0,50.5,0.05180273518441774
EMG1_max,54.0,126.0,28.0,97.75,0.03181965268040125
EMG2_max,27.0,93.0,32.75,77.25,0.03819485250910799
EMG3_max,16.0,88.0,7.0,19.25,0.03181965268040125
EMG4_max,20.0,116.0,9.0,46.0,0.014205698514489811
EMG5_max,33.0,109.0,32.75,96.25,0.028121484814398197
EMG6_max,2.0,83.0,14.25,59.0,0.024006145573266757
EMG7_max,20.0,90.0,25.0,55.0,0.03382499722745924
Accl0_max,53.0,63.0,0.76684575,0.7783205,0.4330708661417323
Accl1_max,58.0,84.0,-0.37316925,-0.298584,0.15310586176727908
Accl2_max,92.0,112.0,0.598511,0.64074725,0.20809898762654666
Gyr0_max,13.0,94.0,3.578125,13.15625,0.024006145573266757
Gyr1_max,53.0,97.0,4.96875,6.96875,0.07611548556430446
Gyr2_max,55.0,90.0,6.609375,10.765625,0.10498687664041993
Orien0_max,57.0,92.0,72.0,74.0,0.10498687664041993
Orien1_max,71.0,83.0,42.75,44.25,0.3603876438522108
Orien2_max,37.0,49.0,111.0,114.25,0.3603876438522108
EMG0_stdev,81.0,116.0,10.650291747850448,18.780290468790277,0.10498687664041993
EMG1_stdev,81.0,113.0,12.610358283965315,19.890376528744483,0.11811023622047244
EMG2_stdev,36.0,85.0,12.685847986416137,24.885769126483364,0.06456692913385827
EMG3_stdev,52.0,102.0,4.905235556280393,8.543213651289879,0.06252894858730894
EMG4_stdev,34.0,113.0,5.307250730685085,13.472999846191271,0.025590551181102362
EMG5_stdev,56.0,104.0,17.12656766613507,30.410486776279882,0.0666880925598586
EMG6_stdev,30.0,65.0,12.030384900856667,16.336560996116802,0.10498687664041993
EMG7_stdev,58.0,112.0,16.144600195899432,23.640228505313715,0.05511811023622047
Accl0_stdev,39.0,82.0,0.008990860613834521,0.012148232111253425,0.07874015748031496
Accl1_stdev,43.0,75.0,0.01218801852520114,0.014863499556625054,0.11811023622047244
Accl2_stdev,49.0,101.0,0.011926522217591556,0.01860157937755696,0.05868370227306492
Gyr0_stdev,12.0,78.0,1.4379794487840847,2.6297380004967534,0.03819485250910799
Gyr1_stdev,39.0,96.0,2.3980114493337856,3.806737851691981,0.05023079011675264
Gyr2_stdev,54.0,83.0,2.6179449875749228,3.333801914918344,0.13385826771653545
Orien0_stdev,4.0,96.0,0.0,0.44014257939453943,0.01651003302006604
Orien1_stdev,29.0,87.0,0.34754037711536484,0.6834168397005203,0.048712131322567735
Orien2_stdev,8.0,81.0,0.0,0.4828427604541986,0.030857629282826135
EMG0_energy,80.0,116.0,5692.25,17741.75,0.10108533730580975
EMG1_energy,81.0,112.0,7973.0,19792.75,0.12303149606299213
EMG2_energy,36.0,86.0,8062.5,32246.5,0.06252894858730894
EMG3_energy,52.0,100.0,1285.5,3620.25,0.0666880925598586
EMG4_energy,33.0,110.0,1473.25,9098.0,0.027256208358570563
EMG5_energy,56.0,104.0,14833.5,47808.25,0.0666880925598586
EMG6_energy,30.0,70.0,7268.0,15175.75,0.087382369886691
EMG7_energy,60.0,112.0,13799.75,28394.5,0.05868370227306492
Accl0_energy,48.0,57.0,27.325525930280254,27.862157925214,0.48031496062992124
Accl1_energy,51.0,70.0,6.437924312683002,8.057257855189997,0.2204724409448819
Accl2_energy,102.0,113.0,15.933767350849745,17.4034361432685,0.3937007874015748
Gyr0_energy,13.0,76.0,109.1572265625,348.875,0.041830708661417325
Gyr1_energy,40.0,95.0,311.2685546875,720.9873046875,0.05343082114735659
Gyr2_energy,49.0,83.0,342.76171875,567.6865234375,0.10911136107986502
Orien0_energy,57.0,92.0,262132.25,274314.75,0.10498687664041993
Orien1_energy,76.0,83.0,90486.0,94061.5,0.610236220472441
Orien2_energy,38.0,55.0,618390.5,656555.5,0.24934383202099736
